날짜,종가,오픈,고가,저가,거래량
2020년 09월 23일,58600,58400,58800,57500,20040000
2020년 09월 22일,58200,59200,59700,57800,064000
2020년 09월 21일,59200,59100,60000,59000,14950000
2020년 09월 20일,59300,59300,59300,59300,0
2020년 09월 18일,59300,59800,59900,59100,18630000
2020년 09월 17일,59500,60600,60800,59300,1107000
2020년 09월 16일,61000,61100,61300,60600,727000
2020년 09월 15일,61000,60800,61000,60500,207000
2020년 09월 14일,60400,60300,60700,60000,071000
2020년 09월 13일,59000,59000,59000,59000,0
2020년 09월 11일,59000,59300,59400,58200,15930000
2020년 09월 10일,59200,59800,60000,59100,750000
2020년 09월 09일,58400,58300,59300,57800,188000
2020년 09월 08일,58700,57400,58700,57200,2453000
2020년 09월 07일,56500,56000,57300,55800,024000
2020년 09월 06일,55600,55600,55600,55600,0
2020년 09월 04일,55600,55200,55800,55100,21980000
2020년 09월 03일,56400,55500,56700,55500,665000
2020년 09월 02일,54400,54600,55100,54100,069000
2020년 09월 01일,54200,54100,54800,54100,17390000
2020년 08월 31일,54000,56000,56100,54000,227000
2020년 08월 30일,55400,55400,55400,55400,0
2020년 08월 28일,55400,56100,56300,55400,14530000
2020년 08월 27일,55600,56300,56300,55600,182000
2020년 08월 26일,56400,56300,56500,55700,355000
2020년 08월 25일,56400,56500,56800,56100,155000
2020년 08월 24일,56100,55800,56600,55400,021000
2020년 08월 23일,55900,55900,55900,55900,0
2020년 08월 21일,55900,56200,56900,55800,21090000
2020년 08월 20일,55400,57600,57600,55300,381000
2020년 08월 19일,57800,59000,59200,57800,1842000
2020년 08월 18일,58400,59000,59900,58000,164000
2020년 08월 17일,58000,58000,58000,58000,0
2020년 08월 14일,58000,58000,58400,57700,15600000
2020년 08월 13일,58700,59300,59500,58000,1101000
2020년 08월 12일,59000,58300,59000,57700,160000
2020년 08월 11일,58200,58000,59500,57800,5217000
2020년 08월 10일,57800,57600,58300,57500,118000
2020년 08월 09일,57500,57500,57500,57500,0
2020년 08월 07일,57500,57900,58400,57100,18160000
2020년 08월 06일,58000,57200,58400,57100,787000
2020년 08월 05일,56900,57400,57400,56300,631000
2020년 08월 04일,57300,57200,58100,57000,192000
2020년 08월 03일,56800,57900,57900,56700,040000
2020년 08월 02일,57900,57900,57900,57900,0
2020년 07월 31일,57900,59500,59600,57700,21860000
2020년 07월 30일,59000,59700,60100,59000,460000
2020년 07월 29일,59000,60300,60300,58600,124000
2020년 07월 28일,58600,56800,58800,56400,6478000
2020년 07월 27일,55600,54400,55700,54400,247000
2020년 07월 26일,54200,54200,54200,54200,0
2020년 07월 24일,54200,54000,54400,53700,10910000
2020년 07월 23일,54100,54700,54700,53800,15910000
2020년 07월 22일,54700,55300,55500,54700,304000
2020년 07월 21일,55300,55100,55400,54800,585000
2020년 07월 20일,54200,54700,54800,54100,094000
2020년 07월 19일,54400,54400,54400,54400,0
2020년 07월 17일,54400,54200,54700,54100,10040000
2020년 07월 16일,53800,54800,54800,53800,329000
2020년 07월 15일,54700,54400,55000,54400,139000
2020년 07월 14일,53800,53700,53800,53200,046000
2020년 07월 13일,53400,53500,53700,53300,533000
2020년 07월 10일,52700,53100,53200,52300,13650000
2020년 07월 09일,52800,53300,53600,52800,264000
2020년 07월 08일,53000,53600,53900,52900,022000
2020년 07월 07일,53400,55900,55900,53400,1378000
2020년 07월 06일,55000,53900,55000,53800,050000
2020년 07월 05일,53600,53600,53600,53600,0
2020년 07월 03일,53600,53000,53600,52700,11820000
2020년 07월 02일,52900,52300,52900,52200,055000
2020년 07월 01일,52600,53400,53500,52400,158000
2020년 06월 30일,52800,53800,53800,52800,004000
2020년 06월 29일,52400,52600,53200,52000,006000
